Nome,Artista,Genero,album,ano de lançamento
In the End,                Linkin Park,                         Rock,    Hybrid Theory,                                              ,2001
Numb,                      Linkin Park,                         Rock,    Meteora,                                                    ,2003
Crawling,                  Linkin Park,                         Rock,    Meteora,                                                    ,2001
Somewhere I Belong,        Linkin Park,                         Rock,    Meteora,                                                    ,2003
Faint,                     Linkin Park,                         Rock,    Meteora,                                                    ,2003
Bleed It Out,              Linkin Park,                         Rock,    Minutes to Midnight,                                        ,2007
One Step Closer,           Linkin Park,                         Rock,    Hybrid Theory,                                              ,2000
Papercut,                  Linkin Park,                         Rock,    Hybrid Theory,                                              ,2000
New Divide,                Linkin Park,                         Rock,    Transformers: Revenge of the Fallen Soundtrack,             ,2009
Given Up,                  Linkin Park,                         Rock,    Minutes to Midnight,                                        ,2007
Shadow of the Day,         Linkin Park,                         Rock,    Minutes to Midnight,                                        ,2007
Waiting for the End,       Linkin Park,                         Rock,    A Thousand Suns,                                            ,2010
Burn It Down,              Linkin Park,                         Rock,    Living Things,                                              ,2012
The Catalyst,              Linkin Park,                         Rock,    A Thousand Suns,                                            ,2010
Castle of Glasscx,         Linkin Park,                         Rock,    Meteora,                                                    ,2012
Lying from You,            Linkin Park,                         Rock,    Meteora,                                                    ,2003
Breaking the Habit,        Linkin Park,                         Rock,    Minutes to Midnight,                                        ,2004 
Leave Out All the Rest,    Linkin Park,                         Rock,    Minutes to Midnight,                                        ,2007
Roads Untraveled,          Linkin Park,                         Rock,    Living Things,                                              ,2012
Hands Held High,           Linkin Park,                         Rock,    Minutes to Midnight                                         ,2007